sample_index,wall_time_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1789436459.829753637,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.951321,23.557967,7.877333,-1.802804,0.387329,-3.134433
1,1789436459.834933281,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.963575,23.518452,7.7022,-1.804043,0.389528,-3.13289
1,1789436459.839590073,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.962397,23.51896,7.813095,-1.802741,0.389541,-3.133393
1,1789436459.844757318,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.909413,23.55301,8.0091,-1.807994,0.387932,-3.133299
1,1789436459.849914789,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.920071,23.567686,7.804725,-1.807035,0.386203,-3.13339
1,1789436459.854741096,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.931161,23.543564,7.784463,-1.805662,0.388573,-3.134089
1,1789436459.859791517,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.931665,23.498459,7.89779,-1.802497,0.38736,-3.139006
1,1789436459.865016222,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.935928,23.519517,7.8379,-1.803639,0.388503,-3.13555
1,1789436459.869626284,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.976048,23.524739,7.815412,-1.805857,0.389628,-3.137924
1,1789436459.874587297,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.9627,23.5659,7.817932,-1.810396,0.387805,-3.130564
1,1789436459.879637957,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.957755,23.515964,7.785108,-1.803458,0.389252,-3.127373
1,1789436459.884694338,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.920358,23.526163,7.785921,-1.80734,0.385537,-3.133369
1,1789436459.889717102,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.925681,23.549028,7.821333,-1.805853,0.387398,-3.134475
1,1789436459.894805431,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.930924,23.544042,7.989234,-1.805969,0.388782,-3.140074
1,1789436459.899794579,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.931803,23.538681,7.811998,-1.806104,0.38691,-3.134487
1,1789436459.904590607,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.949288,23.488656,7.816248,-1.798563,0.387508,-3.137552
1,1789436459.909656763,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.928381,23.497765,7.836704,-1.806385,0.389982,-3.129935
1,1789436459.914934158,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.9685,23.51248,7.868154,-1.802572,0.392172,-3.133555
1,1789436459.919842720,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.935683,23.548117,7.670688,-1.807858,0.384914,-3.123725
1,1789436459.924825907,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.923593,23.521038,7.864229,-1.80715,0.385632,-3.130791
1,1789436459.929710865,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.940203,23.511271,7.885973,-1.803205,0.385829,-3.134791
1,1789436459.934762478,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.952373,23.504167,7.742118,-1.805964,0.389619,-3.131015
1,1789436459.939743519,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.957339,23.532617,7.798182,-1.805339,0.38613,-3.131401
1,1789436459.944578886,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.954455,23.526512,7.994776,-1.803837,0.391557,-3.136057
1,1789436459.949726105,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.94035,23.522816,7.813571,-1.804227,0.387281,-3.133353
1,1789436459.954579830,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.953733,23.526666,7.77864,-1.806747,0.388814,-3.131663
1,1789436459.959749460,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.938399,23.541077,7.884548,-1.810909,0.385855,-3.135767
1,1789436459.964917660,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.955908,23.565175,7.920259,-1.804901,0.38852,-3.136649
1,1789436459.969697952,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.896664,23.555788,7.627807,-1.80662,0.384896,-3.127525
1,1789436459.974680662,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.959344,23.508043,7.835448,-1.802324,0.391859,-3.136715
1,1789436459.979691744,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.964153,23.519453,7.884458,-1.80273,0.390242,-3.135315
1,1789436459.984755039,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.949001,23.52978,7.796867,-1.807652,0.383579,-3.132506
1,1789436459.989700794,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.9863,23.510276,7.883451,-1.80622,0.388665,-3.136034
1,1789436459.994889498,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.970355,23.528869,7.700383,-1.808679,0.387317,-3.128227
1,1789436459.999716282,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.980558,23.528157,7.816923,-1.80547,0.388958,-3.137032
1,1789436460.004566431,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.932993,23.551928,8.024463,-1.806451,0.388689,-3.135332
1,1789436460.009963751,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.920679,23.560007,7.80277,-1.806559,0.387314,-3.134508
1,1789436460.015980482,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.923105,23.548206,7.8213,-1.803605,0.388002,-3.134459
1,1789436460.019603729,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.929693,23.524723,7.825971,-1.807063,0.385532,-3.137584
1,1789436460.024665833,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.966102,23.532321,7.856666,-1.804372,0.391289,-3.135165
1,1789436460.029610634,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.933569,23.520053,7.779253,-1.804928,0.385962,-3.131591
1,1789436460.034770727,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.95862,23.543768,7.787702,-1.805721,0.389035,-3.131897
1,1789436460.039617062,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.921803,23.526915,7.858407,-1.807648,0.38569,-3.134616
1,1789436460.045005083,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.97199,23.548181,7.797327,-1.807257,0.390751,-3.131484
1,1789436460.049901962,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.909591,23.536725,7.827706,-1.805473,0.384445,-3.130594
1,1789436460.054834604,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.934929,23.532499,8.027448,-1.804952,0.389067,-3.139336
1,1789436460.059910059,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.899299,23.531144,7.812426,-1.80363,0.385446,-3.134394
1,1789436460.064900160,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.967893,23.525209,7.798842,-1.804854,0.391829,-3.13637
1,1789436460.069830179,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.943648,23.508497,7.807955,-1.803915,0.389056,-3.130669
1,1789436460.074913979,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.946461,23.530112,7.817379,-1.806333,0.388778,-3.130698
1,1789436460.079824209,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.956465,23.543416,7.691621,-1.807026,0.387232,-3.127995
1,1789436460.084823608,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.928284,23.549994,7.836098,-1.805844,0.387681,-3.130875
1,1789436460.089875221,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.911667,23.550771,7.886895,-1.804176,0.386412,-3.134341
1,1789436460.094820499,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.945872,23.512263,7.75443,-1.802213,0.387736,-3.135443
1,1789436460.099826574,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.943079,23.536259,7.796229,-1.807153,0.387571,-3.132521
1,1789436460.104611158,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.929177,23.52239,7.987285,-1.80324,0.389555,-3.135105
1,1789436460.109773636,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.968151,23.538289,7.869737,-1.802947,0.393787,-3.132471
1,1789436460.115042448,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.929718,23.539339,7.742974,-1.807066,0.384551,-3.131215
1,1789436460.119890690,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.978613,23.532405,7.853503,-1.803424,0.391564,-3.137206
1,1789436460.124816895,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.896655,23.544361,7.835685,-1.808826,0.382353,-3.131697
1,1789436460.129805565,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.958373,23.515983,7.727766,-1.80344,0.389656,-3.134406
1,1789436460.134857655,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.936452,23.528671,7.779089,-1.807323,0.384786,-3.131839
1,1789436460.139661789,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.980711,23.52948,7.918639,-1.800274,0.390765,-3.137313
1,1789436460.144701719,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.933053,23.553154,7.725726,-1.805459,0.387018,-3.130143
1,1789436460.149783373,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.962677,23.542152,7.8461,-1.805747,0.392651,-3.135873
1,1789436460.154644012,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.899839,23.559065,7.966631,-1.806882,0.384624,-3.131083
1,1789436460.159593821,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.944954,23.5309,7.864953,-1.80081,0.390475,-3.135982
1,1789436460.164937735,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.915453,23.55876,7.786213,-1.8082,0.385042,-3.133399
1,1789436460.169850111,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.943665,23.510987,7.815217,-1.803202,0.387621,-3.13827
1,1789436460.174849510,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.94333,23.521727,7.829772,-1.805541,0.38907,-3.134696
1,1789436460.179890871,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.948852,23.512579,7.782319,-1.804795,0.387676,-3.135425
1,1789436460.184864759,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.955413,23.539082,7.804564,-1.807103,0.39097,-3.132777
1,1789436460.189711332,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.948719,23.558171,7.875873,-1.809887,0.388529,-3.135153
1,1789436460.194799185,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.969423,23.543689,7.780596,-1.806076,0.38786,-3.130579
1,1789436460.199807882,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.957481,23.52956,7.913423,-1.807658,0.388181,-3.134844
1,1789436460.204695702,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.94112,23.549257,7.787256,-1.805559,0.388323,-3.132315
1,1789436460.209723234,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.921305,23.559123,7.803664,-1.807548,0.387854,-3.133844
1,1789436460.214942694,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.92659,23.563056,7.985938,-1.80552,0.388859,-3.142331
1,1789436460.219831467,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.935913,23.523517,7.811259,-1.804186,0.390706,-3.134487
