group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789524052.367381096,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.367900610,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.368521214,2.95929,6.569773,57.147312,2.253838,2.31824,0.299049
1,1,1789524052.369126320,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.369969606,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.370699883,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.372394800,2.938974,6.545426,57.186227,2.250086,2.315807,0.300057
1,1,1789524052.373390913,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.374267340,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.375078678,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.375887156,2.954629,6.518238,57.327676,2.250429,2.323064,0.29619
1,1,1789524052.376712799,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.377310276,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.378159046,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.378983736,2.976527,6.547691,57.158298,2.248129,2.318269,0.300367
1,1,1789524052.379804134,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.380615950,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.381155729,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.382228136,3.059243,6.583499,56.997243,2.244258,2.317828,0.29835
1,1,1789524052.384150743,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.386022329,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.387067080,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.388319254,3.06447,6.578924,56.88817,2.248669,2.319907,0.300223
1,1,1789524052.389803886,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.390612841,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.392142773,3.069436,6.621312,57.0223,2.247397,2.328021,0.297394
1,1,1789524052.392961740,3.045265,6.65036,57.261313,2.243902,2.321383,0.288574
1,1,1789524052.393825293,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.394654512,3.02224,6.665489,57.184085,2.245551,2.315925,0.298166
1,1,1789524052.395476580,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.396282434,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.397336721,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.397725582,3.011098,6.609053,57.257536,2.250119,2.319612,0.292088
1,1,1789524052.398077965,2.961642,6.584038,57.064889,2.251254,2.317622,0.299795
1,1,1789524052.399588108,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.400093079,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.400597811,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.401117325,2.891244,6.537808,57.199249,2.253877,2.313935,0.302224
1,1,1789524052.402329922,2.900122,6.552053,57.150632,2.247413,2.314668,0.300957
1,1,1789524052.403757572,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.405027866,2.957436,6.677607,57.17006,2.243418,2.322574,0.29574
1,1,1789524052.405680180,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.406299829,2.922917,6.517462,57.152002,2.247231,2.318622,0.302502
1,1,1789524052.406812429,2.880504,6.557789,57.248499,2.246291,2.312542,0.29777
1,1,1789524052.408425331,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.409071684,3.053654,6.577128,57.076293,2.246711,2.321982,0.301837
1,1,1789524052.409577847,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.410453796,2.932929,6.499125,57.360085,2.251592,2.311559,0.303987
1,1,1789524052.411833763,2.954647,6.49263,57.153433,2.254637,2.315838,0.309257
1,1,1789524052.413640499,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.414218664,3.044021,6.586507,57.355467,2.244364,2.321471,0.295733
1,1,1789524052.415195704,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.415727854,2.995341,6.554615,57.166463,2.247591,2.314885,0.299229
1,1,1789524052.416756153,3.085279,6.601024,57.186367,2.2404,2.31958,0.300537
1,1,1789524052.418411016,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.418896914,2.912881,6.587203,57.012558,2.251101,2.315962,0.301832
1,1,1789524052.419363499,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.421693087,3.078984,6.557257,57.328152,2.24909,2.316835,0.295715
1,1,1789524052.423452377,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.424376011,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.424904346,2.920811,6.531218,57.292743,2.253339,2.315287,0.302748
1,1,1789524052.426654816,3.001142,6.59072,57.190709,2.249709,2.318007,0.296968
1,1,1789524052.428499699,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.428871870,3.00727,6.559678,57.116413,2.249617,2.316785,0.303167
1,1,1789524052.429493427,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.431702614,2.921324,6.622261,56.958993,2.242846,2.315736,0.303219
1,1,1789524052.433421373,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.434521675,3.099425,6.584126,57.336443,2.241933,2.318232,0.289107
1,1,1789524052.434874773,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.436698914,2.851918,6.566588,56.922025,2.252025,2.311089,0.309043
1,1,1789524052.438370228,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.439609528,2.968491,6.639729,57.104297,2.24413,2.318158,0.295022
1,1,1789524052.439966202,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.441703320,2.869672,6.59693,57.297369,2.24946,2.311772,0.298961
1,1,1789524052.443408012,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.444141388,2.848824,6.582203,57.128854,2.247892,2.313408,0.298532
1,1,1789524052.444669008,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.446697235,2.997049,6.555035,57.048912,2.249846,2.315715,0.307584
1,1,1789524052.448939085,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.449456215,3.01688,6.528366,57.076007,2.248229,2.316974,0.307375
