group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789523830.222826242,2.892238,6.452749,57.000001,2.255163,2.314791,0.306293
1,1,1789523830.223780155,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.224409580,2.886366,6.548009,56.896265,2.251528,2.312538,0.310745
1,1,1789523830.227138519,2.980608,6.487469,56.900179,2.24898,2.316559,0.314191
1,1,1789523830.229477882,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.231196642,2.933756,6.543776,57.133732,2.2481,2.313312,0.308063
1,1,1789523830.233088255,3.035149,6.579737,56.946765,2.24743,2.316844,0.307766
1,1,1789523830.234487295,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.235471964,3.002535,6.571607,56.94996,2.248287,2.315232,0.303596
1,1,1789523830.237275600,3.02582,6.649689,57.108709,2.248106,2.320107,0.298062
1,1,1789523830.238842726,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.239670515,3.055472,6.592527,56.927781,2.245123,2.320459,0.301825
1,1,1789523830.242107391,2.974194,6.61376,56.930546,2.248018,2.313971,0.302682
1,1,1789523830.244686842,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.245283842,2.873248,6.56213,56.922205,2.253512,2.31377,0.3034
1,1,1789523830.247130632,2.915659,6.548286,56.886583,2.25149,2.314118,0.304616
1,1,1789523830.248954773,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.249522924,2.888507,6.506348,56.568377,2.251528,2.311606,0.321529
1,1,1789523830.252127171,2.861122,6.474312,56.992105,2.256036,2.312326,0.306783
1,1,1789523830.253782034,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.254447222,2.983828,6.486958,56.885389,2.248646,2.312683,0.304097
1,1,1789523830.257035017,2.909995,6.556322,56.984662,2.243603,2.312948,0.307853
1,1,1789523830.258878231,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.259717464,3.045547,6.577063,56.969721,2.245755,2.317595,0.298578
1,1,1789523830.262044907,2.940955,6.487252,56.76725,2.25453,2.312457,0.317941
1,1,1789523830.263827562,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
