group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789523726.141565084,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.142966986,2.826479,6.51286,56.811285,2.253418,2.309151,0.315735
1,1,1789523726.144729376,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.146301031,2.892597,6.550168,56.952229,2.240898,2.308563,0.310542
1,1,1789523726.149651051,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.151281834,2.980991,6.469875,56.763042,2.246944,2.306503,0.308674
1,1,1789523726.154139996,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.155667543,2.994057,6.560511,56.84947,2.238992,2.304108,0.297653
1,1,1789523726.159042835,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.160648346,3.006441,6.605042,56.837864,2.240022,2.314433,0.297067
1,1,1789523726.164095640,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.165698528,2.877232,6.622654,56.863227,2.246807,2.308646,0.300536
1,1,1789523726.169201612,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.170697212,2.810141,6.625121,56.804341,2.24087,2.308157,0.304575
1,1,1789523726.171171188,2.910943,6.515576,57.023136,2.251707,2.310415,0.302412
1,1,1789523726.172497749,2.873826,6.51194,56.8995,2.255268,2.315477,0.307235
1,1,1789523726.174008369,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.176142454,2.828597,6.520467,56.75684,2.256196,2.316812,0.317414
1,1,1789523726.176703691,2.776625,6.527335,56.58832,2.251267,2.307679,0.321763
1,1,1789523726.179187059,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.179833651,2.845083,6.563784,56.828508,2.2536,2.316557,0.315406
1,1,1789523726.180706978,2.900901,6.528512,56.883344,2.245903,2.315227,0.308879
1,1,1789523726.185190916,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.185950756,2.987458,6.567457,56.884762,2.25149,2.325155,0.304623
1,1,1789523726.187254429,3.021161,6.541847,56.730724,2.245296,2.311008,0.305973
1,1,1789523726.189430952,3.007829,6.546348,56.82611,2.250292,2.315908,0.301876
1,1,1789523726.190159798,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.191910028,3.115638,6.545058,56.837051,2.252311,2.320277,0.297422
1,1,1789523726.194255352,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.194994450,3.105399,6.498856,56.835409,2.25677,2.321135,0.296618
1,1,1789523726.195710182,3.009226,6.577435,57.008735,2.245532,2.318639,0.293764
