unix_time_s,robotmode,safetystatus,program_state
1789434207.7355309,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434207.7842884,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434207.8344307,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434207.8846393,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434207.9348493,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434207.984867,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.034975,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.0851054,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.1352503,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.185306,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.2354794,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.2855713,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.335874,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.3858585,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.4359097,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.486112,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.536212,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.5863156,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.636498,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.6866417,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.7369232,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.7869205,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.83811,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.887191,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.937335,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434208.9874358,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.0377178,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.0877337,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.137845,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.1880698,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.2380908,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.288285,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.338432,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.3883448,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.4386306,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.4887624,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.5389452,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.5890186,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.639124,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.6893175,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.7395024,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.789293,Robotmode: POWER_OFF,Safetystatus: NORMAL,STOPPED null
1789434209.839342,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434209.8896177,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434209.9402516,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434209.990647,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.0407555,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.0910938,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.1412084,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.1911547,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.2414067,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.2915888,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.3417003,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.3919442,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.4419925,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.4920862,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.5421906,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.5924993,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.6425345,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
1789434210.6925795,Robotmode: POWER_ON,Safetystatus: NORMAL,STOPPED null
