unix_time_s,robotmode,safetystatus,program_state
1789615810.4262667,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.4739149,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.512959,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.5626435,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.6129646,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.6628194,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.712919,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.7638333,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.8150945,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.8631284,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.9276907,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615810.9739692,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.0191243,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.064164,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.11415,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.1644688,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.214495,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.2645297,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.3146424,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.3646746,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.4155273,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.4660351,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.514852,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.5796103,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.6256917,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615811.6665447,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
