unix_time_s,robotmode,safetystatus,program_state
1789615320.5686398,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615320.6164365,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615320.6666744,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615320.7262444,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615320.7779477,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615320.817041,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615320.8669846,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615320.9171755,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615320.967229,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.0171196,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.0673895,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.1174154,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.1677294,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.217844,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.2677116,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.3316822,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.3783014,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.4181497,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.4681687,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.5182827,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.5682714,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.6183293,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.6683016,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.718445,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.7687554,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.8188565,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.86884,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.9332645,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615321.9799519,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.0188742,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.0691056,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.119423,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.1693716,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.2196338,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.269505,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.3196092,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.3695512,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.4197433,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.4698696,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.5316885,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.5822098,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.6200864,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.6702583,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.720133,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.770277,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.8203664,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.870263,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.9204297,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615322.9706895,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.0207303,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.071499,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.1307852,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.183739,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.2211306,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.2711468,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.321104,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.371337,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.4214628,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.4713988,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.5216706,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.5716667,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.6215632,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.67177,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.7315376,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.7823937,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.8219788,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.8718812,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.9218957,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615323.972195,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.0222065,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.0721738,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.1224248,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.1723125,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.2222838,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.2723565,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.3225403,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.3727212,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.4229252,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.47294,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.5229707,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.5729098,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.6237752,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.6732423,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.7231202,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.7733145,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.8234246,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.8735168,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.9235797,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615324.973561,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.0236766,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.073784,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.1238854,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.1740308,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.2239072,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.2738886,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.3241634,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.3741524,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.424104,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.4745116,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.5244815,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.574768,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.6245837,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.6747084,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.725073,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.7846274,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.8378646,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.8854277,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.939064,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615325.9867036,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.0251968,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.0754457,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.126349,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.1755,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.225438,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.275459,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.325766,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.3756468,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615326.4259374,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
