unix_time_s,robotmode,safetystatus,program_state
1789616392.014317,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.0619993,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.1226535,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.172992,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.2121532,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.2623162,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.3125112,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.3626168,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.4127035,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.4628584,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.5131006,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.5636473,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.6132748,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.6756222,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.726915,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.7720652,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.81348,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.86366,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.9134705,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616392.9636445,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.0143387,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.0640054,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.1143134,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.1641371,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.2140312,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.2640743,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.3258843,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.3728113,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.4147546,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.4641545,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.5142343,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.5647066,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.614396,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.6647396,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.7147667,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.7648578,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.8150823,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.865288,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.9155328,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616393.9653378,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.0154037,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.0656812,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.1157992,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.1657853,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.215867,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.2665071,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.3159344,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.3660634,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.4160259,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.4663086,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.5163143,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.566483,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.6163008,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.6668959,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.7168772,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.7666247,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.8170805,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.8670998,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.917086,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616394.9671724,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.017324,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.0670125,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.1171043,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.1673234,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.2176013,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.267379,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.3177288,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.3677886,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.4177902,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.4677896,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.5182056,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.567654,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.6183677,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.667948,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.717953,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.78016,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.8317924,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.8785048,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.930923,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616395.9703643,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.0192013,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.0687084,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.119008,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.1691482,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.2188563,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.2690399,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.3278139,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.377684,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.4194841,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.469755,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.5195715,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616396.5694623,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
