unix_time_s,robotmode,safetystatus,program_state
1789616459.834644,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616459.8943002,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616459.9459019,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616459.983767,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.0336142,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.0834367,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.1334445,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.184092,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.2340431,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.2939234,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.3443568,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.3841577,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.4342318,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.484175,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.5345163,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.5842848,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.634685,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.694268,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.744813,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.7850225,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.835151,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.8852272,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.9351177,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616460.9853253,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.0353968,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.0987184,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.1452985,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.1856275,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.2357697,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.2858577,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.3357368,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.386058,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.436098,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.4970999,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.549702,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.5863078,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.6363134,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.6864715,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.7373722,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.786909,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.8367257,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.8970594,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.9489937,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616461.9868994,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.0370884,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.0870566,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.1372423,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.1870558,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.2373438,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.287747,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.3376653,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.3892648,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.4391806,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.500009,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.5512905,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.5894003,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.6400614,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.6890552,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.739582,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.789976,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.839906,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.889745,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.9398549,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616462.9904675,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616463.0401978,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616463.1006138,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616463.1530724,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
