elapsed_s,wall_time_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,tcp_vx_m_s,tcp_vy_m_s,tcp_vz_m_s,tcp_wx_rad_s,tcp_wy_rad_s,tcp_wz_rad_s
0.218975605,1789526640.573573112,-0.094579522,-1.744629208,-1.620133702,-4.576635305,4.865621090,-4.121488396,0.521448417,-0.226096769,0.523803693,2.805528164,-0.985286028,-0.071325056,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.226880189,1789526640.581476450,-0.094555203,-1.744592969,-1.620121781,-4.576647464,4.865596771,-4.121476475,0.521441304,-0.226080664,0.523829615,2.805563057,-0.985284654,-0.071278301,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.234898690,1789526640.589494705,-0.094543282,-1.744641129,-1.620097939,-4.576659385,4.865596771,-4.121524398,0.521466931,-0.226076623,0.523815403,2.805585238,-0.985193799,-0.071334933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.242808726,1789526640.597404718,-0.094531361,-1.744641129,-1.620121781,-4.576623384,4.865584850,-4.121524398,0.521467678,-0.226069121,0.523800457,2.805604084,-0.985184042,-0.071320659,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.250888223,1789526640.605484247,-0.094531361,-1.744629208,-1.620133702,-4.576623384,4.865644932,-4.121500317,0.521460095,-0.226073906,0.523802551,2.805538658,-0.985194869,-0.071294031,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.258909088,1789526640.613505125,-0.094567124,-1.744616810,-1.620121781,-4.576623384,4.865656853,-4.121500317,0.521449506,-0.226093402,0.523814587,2.805516665,-0.985245579,-0.071258870,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.266934708,1789526640.621530533,-0.094543282,-1.744616810,-1.620086018,-4.576599542,4.865608692,-4.121512238,0.521464544,-0.226077445,0.523826508,2.805589963,-0.985225500,-0.071190664,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.274880135,1789526640.629476070,-0.094555203,-1.744604890,-1.620121781,-4.576623384,4.865656853,-4.121500317,0.521447507,-0.226086739,0.523821030,2.805524953,-0.985231124,-0.071240236,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.282945238,1789526640.637541294,-0.094555203,-1.744616810,-1.620121781,-4.576635305,4.865621090,-4.121464316,0.521451497,-0.226083852,0.523815566,2.805532767,-0.985290169,-0.071284045,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.290866941,1789526640.645463228,-0.094555203,-1.744592969,-1.620086018,-4.576682989,4.865608692,-4.121488396,0.521445753,-0.226082181,0.523849676,2.805558747,-0.985263431,-0.071274763,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
