/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.6475, -0.2685, 0.326] | 姿态(rx,ry,rz rad): [1.9352, -2.3646, -0.0002]
FK 一致度: 0.002599 m / 0.004389 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [5, 4, 3, 2, 22, 13, 21, 20, 1, 25, 19, 18, 10, 14, 8, 7, 6, 12, 11, 26, 16, 24, 23, 15, 9, 17]
当前位姿最小奇异值 0.3177（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
5    lift       reorient_first    0.0000    0.0000    1.5072    0.2789   0.3260 PASS
5    reorient   reorient_first    0.0000    0.0000    0.9045    0.2789   0.5500 PASS
5    translate  reorient_first    0.0000    0.0000    0.9045    0.3062   0.5500 PASS
5    descend    reorient_first    0.0000    0.0000    0.9830    0.3180   0.2516 PASS
5    SUMMARY    reorient_first         -         -         -         -        - PASS
4    lift       reorient_first    0.0000    0.0000    0.9830    0.3180   0.2516 PASS
4    reorient   reorient_first    0.0000    0.0000    0.9830    0.3180   0.5500 PASS
4    translate  reorient_first    0.0000    0.0000    0.9886    0.3193   0.5500 PASS
4    descend    reorient_first    0.0000    0.0000    1.0728    0.3341   0.2507 PASS
4    SUMMARY    reorient_first         -         -         -         -        - PASS
3    lift       reorient_first    0.0000    0.0000    1.0728    0.3341   0.2507 PASS
3    reorient   reorient_first    0.0000    0.0000    0.7787    0.2783   0.5500 PASS
3    translate  reorient_first    0.0000    0.0000    0.7787    0.2468   0.5500 PASS
3    descend    reorient_first    0.0000    0.0000    0.8561    0.2468   0.2521 PASS
3    SUMMARY    reorient_first         -         -         -         -        - PASS
2    lift       reorient_first    0.0000    0.0000    0.8561    0.2468   0.2521 PASS
2    reorient   reorient_first    0.0000    0.0000    0.6725    0.1866   0.5500 PASS
2    translate  reorient_first    0.0000    0.0000    0.6725    0.1523   0.5500 PASS
2    descend    reorient_first    0.0000    0.0000    0.7029    0.1523   0.2513 PASS
2    SUMMARY    reorient_first         -         -         -         -        - PASS
22   lift       reorient_first    0.0000    0.0000    0.7029    0.1523   0.2513 PASS
22   reorient   reorient_first    0.0000    0.0000    0.7029    0.1469   0.5500 PASS
22   translate  reorient_first    0.0000    0.0000    0.7876    0.0717   0.5500 PASS
22   descend    reorient_first    0.0000    0.0000    0.7746    0.0899   0.3731 PASS
22   SUMMARY    reorient_first         -         -         -         -        - PASS
13   lift       reorient_first    0.0000    0.0000    0.7746    0.0899   0.3731 PASS
13   reorient   reorient_first    0.0000    0.0000    0.6462    0.0904   0.5500 PASS
13   translate  reorient_first    0.0000    0.0000    0.6462    0.0881   0.5500 PASS
13   descend    reorient_first    0.0000    0.0000    0.6417    0.0874   0.2957 PASS
13   SUMMARY    reorient_first         -         -         -         -        - PASS
21   lift       reorient_first    0.0000    0.0000    0.6417    0.0874   0.2957 PASS
21   reorient   reorient_first    0.0000    0.0000    0.8749    0.0892   0.5500 PASS
21   translate  reorient_first    0.0000    0.0000    0.7664    0.1059   0.5500 PASS
21   descend    reorient_first    0.0000    0.0000    0.7664    0.2112   0.3903 PASS
21   SUMMARY    reorient_first         -         -         -         -        - PASS
20   lift       reorient_first    0.0000    0.0000    0.7664    0.2112   0.3903 PASS
20   reorient   reorient_first    0.0000    0.0000    0.4236    0.2127   0.5500 PASS
20   translate  reorient_first    0.0000    0.0000    0.4236    0.2175   0.5500 PASS
20   descend    reorient_first    0.0000    0.0000    0.4236    0.2758   0.4069 PASS
20   SUMMARY    reorient_first         -         -         -         -        - PASS
1    lift       translate_first   0.0000    0.0000    0.4236    0.2758   0.4069 PASS
1    translate  translate_first   0.0000    0.0000    0.4236    0.1429   0.5500 PASS
1    reorient   translate_first   0.0000    0.0000    0.2274    0.1215   0.5500 PASS
1    descend    translate_first   0.0000    0.0000    0.2274    0.1194   0.2538 PASS
1    RESCUE     roll +15 deg           -         -         -         -        - PASS 绕光轴转 +15° 后整链通过
1    SUMMARY    translate_first        -         -         -         -        - PASS
25   lift       reorient_first    0.0000    0.0000    0.2274    0.1194   0.2538 PASS
25   reorient   reorient_first    0.0000    0.0000    0.2274    0.1215   0.5500 PASS
25   translate  reorient_first    0.0000    0.0000    0.2274    0.1215   0.5500 PASS
25   descend    reorient_first    0.0000    0.0000    0.2274    0.1194   0.2538 PASS
25   RESCUE     roll +15 deg           -         -         -         -        - PASS 绕光轴转 +15° 后整链通过
25   SUMMARY    reorient_first         -         -         -         -        - PASS
19   lift       reorient_first    0.0000    0.0000    0.2274    0.1194   0.2538 PASS
19   reorient   reorient_first    0.0000    0.0000    0.2274    0.1215   0.5500 PASS
19   translate  reorient_first    0.0000    0.0000    0.1145    0.1544   0.5500 PASS
19   descend    reorient_first    0.0000    0.0000    0.1145    0.2826   0.4037 PASS
19   RESCUE     roll +45 deg           -         -         -         -        - PASS 绕光轴转 +45° 后整链通过
19   SUMMARY    reorient_first         -         -         -         -        - PASS
18   lift       reorient_first    0.0000    0.0000    0.1145    0.2826   0.4037 PASS
18   reorient   reorient_first    0.0000    0.0000    0.1068    0.2826   0.5500 PASS
