/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.5304, -0.1147, 0.5499] | 姿态(rx,ry,rz rad): [-1.2688, 2.8112, 0.5076]
FK 一致度: 0.002462 m / 0.004510 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [9, 17, 18, 19, 10, 1, 25, 20, 21, 22, 13, 2, 3, 4, 5, 6, 7, 8, 14, 12, 11, 26, 16, 15, 24, 23]
当前位姿最小奇异值 0.3024（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
9    lift       reorient_first    0.0000    0.0000    1.5245    0.3021   0.5499 PASS
9    reorient   reorient_first    0.0000    0.0000    1.4686    0.1543   0.5500 PASS
9    translate  reorient_first    0.0000    0.0000    1.0684    0.1543   0.5500 PASS
9    descend    reorient_first    0.0000    0.0000    1.0684    0.2639   0.2504 PASS
9    SUMMARY    reorient_first         -         -         -         -        - PASS
17   lift       reorient_first    0.0000    0.0000    1.0684    0.2639   0.2504 PASS
17   reorient   reorient_first    0.0000    0.0000    0.9060    0.2639   0.5500 PASS
17   translate  reorient_first    0.0000    0.0000    0.7300    0.1730   0.5500 PASS
17   descend    reorient_first    0.0000    0.0000    0.7300    0.1730   0.2686 PASS
17   SUMMARY    reorient_first         -         -         -         -        - PASS
18   lift       reorient_first    0.0000    0.0000    0.7300    0.1730   0.2686 PASS
18   reorient   reorient_first    0.0000    0.0000    0.7300    0.1447   0.5500 PASS
18   translate  reorient_first    0.0000    0.0000    1.0597    0.1447   0.5500 PASS
18   descend    reorient_first    0.0000    0.0000    1.0597    0.2177   0.2673 PASS
18   SUMMARY    reorient_first         -         -         -         -        - PASS
19   lift       reorient_first    0.0000    0.0000    1.0597    0.2177   0.2673 PASS
19   reorient   reorient_first    0.0000    0.0000    1.0597    0.1638   0.5500 PASS
19   translate  reorient_first    0.0000    0.0000    1.5630    0.1638   0.5500 PASS
19   descend    reorient_first    0.0000    0.0000    1.5630    0.1672   0.2657 PASS
19   SUMMARY    reorient_first         -         -         -         -        - PASS
10   lift       reorient_first    0.0000    0.0000    1.5630    0.1672   0.2657 PASS
10   reorient   reorient_first    0.0000    0.0000    1.3503    0.1708   0.5500 PASS
10   translate  reorient_first    0.0000    0.0000    1.3503    0.1946   0.5500 PASS
10   descend    reorient_first    0.0000    0.0000    1.4628    0.1903   0.2616 PASS
10   SUMMARY    reorient_first         -         -         -         -        - PASS
1    lift       reorient_first    0.0000    0.0000    1.4628    0.1903   0.2616 PASS
1    reorient   reorient_first    0.0000    0.0000    1.6103    0.1946   0.5500 PASS
1    translate  reorient_first    0.0000    0.0000    1.1778    0.1723   0.5500 PASS
1    descend    reorient_first    0.0000    0.0000    0.7356    0.1689   0.2508 PASS
1    SUMMARY    reorient_first         -         -         -         -        - PASS
25   lift       reorient_first    0.0000    0.0000    0.7356    0.1689   0.2508 PASS
25   reorient   reorient_first    0.0000    0.0000    1.1778    0.1723   0.5500 PASS
25   translate  reorient_first    0.0000    0.0000    1.1778    0.1723   0.5500 PASS
25   descend    reorient_first    0.0000    0.0000    0.7356    0.1689   0.2508 PASS
25   SUMMARY    reorient_first         -         -         -         -        - PASS
20   lift       reorient_first    0.0000    0.0000    0.7356    0.1689   0.2508 PASS
20   reorient   reorient_first    0.0000    0.0000    1.1778    0.1723   0.5500 PASS
20   translate  reorient_first    0.0000    0.0000    1.2027    0.1797   0.5500 PASS
20   descend    reorient_first    0.0000    0.0000    1.2649    0.2758   0.4069 PASS
20   SUMMARY    reorient_first         -         -         -         -        - PASS
21   lift       reorient_first    0.0000    0.0000    1.2649    0.2758   0.4069 PASS
21   reorient   reorient_first    0.0000    0.0000    1.4398    0.2758   0.5500 PASS
21   translate  reorient_first    0.0000    0.0000    1.2627    0.2127   0.5500 PASS
21   descend    reorient_first    0.0000    0.0000    1.0175    0.2112   0.3903 PASS
21   SUMMARY    reorient_first         -         -         -         -        - PASS
22   lift       reorient_first    0.0000    0.0000    1.0175    0.2112   0.3903 PASS
22   reorient   reorient_first    0.0000    0.0000    1.2400    0.2031   0.5500 PASS
22   translate  reorient_first    0.0000    0.0000    1.0764    0.0911   0.5500 PASS
22   descend    reorient_first    0.0000    0.0000    0.7746    0.0899   0.3731 PASS
22   SUMMARY    reorient_first         -         -         -         -        - PASS
13   lift       reorient_first    0.0000    0.0000    0.7746    0.0899   0.3731 PASS
13   reorient   reorient_first    0.0000    0.0000    1.0727    0.0904   0.5500 PASS
13   translate  reorient_first    0.0000    0.0000    1.0658    0.0881   0.5500 PASS
13   descend    reorient_first    0.0000    0.0000    0.6417    0.0874   0.2957 PASS
13   SUMMARY    reorient_first         -         -         -         -        - PASS
2    lift       reorient_first    0.0000    0.0000    0.6417    0.0874   0.2957 PASS
2    reorient   reorient_first    0.0000    0.0000    0.6328    0.0648   0.5500 PASS
2    translate  reorient_first    0.0000    0.0000    0.6272    0.0648   0.5500 PASS
2    descend    reorient_first    0.0000    0.0000    0.7029    0.1523   0.2513 PASS
2    SUMMARY    reorient_first         -         -         -         -        - PASS
3    lift       reorient_first    0.0000    0.0000    0.7029    0.1523   0.2513 PASS
3    reorient   reorient_first    0.0000    0.0000    0.7029    0.1523   0.5500 PASS
3    translate  reorient_first    0.0000    0.0000    0.8561    0.2031   0.5500 PASS
