/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.5303, -0.1147, 0.5499] | 姿态(rx,ry,rz rad): [-1.2688, 2.8111, 0.5077]
FK 一致度: 0.002462 m / 0.004510 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [21, 13, 26, 6, 15, 14, 5, 4, 3, 12, 20, 22, 23, 24, 17, 16, 7, 9, 18, 8, 10, 1, 25, 11, 19, 2]
当前位姿最小奇异值 0.3024（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
21   lift       reorient_first    0.0000    0.0000    1.5245    0.3021   0.5499 PASS
21   reorient   reorient_first    0.0000    0.0000    1.5134    0.3021   0.5500 PASS
21   translate  reorient_first    0.0000    0.0000    1.2354    0.2481   0.5500 PASS
21   descend    reorient_first    0.0000    0.0000    1.1457    0.2477   0.4853 PASS
21   SUMMARY    reorient_first         -         -         -         -        - PASS
13   lift       reorient_first    0.0000    0.0000    1.1457    0.2477   0.4853 PASS
13   reorient   reorient_first    0.0000    0.0000    1.2012    0.2169   0.5500 PASS
13   translate  reorient_first    0.0000    0.0000    1.2012    0.2169   0.5500 PASS
13   descend    reorient_first    0.0000    0.0000    1.2327    0.3056   0.3755 PASS
13   SUMMARY    reorient_first         -         -         -         -        - PASS
26   lift       reorient_first    0.0000    0.0000    1.2327    0.3056   0.3755 PASS
26   reorient   reorient_first    0.0000    0.0000    1.2327    0.3056   0.5500 PASS
26   translate  reorient_first    0.0000    0.0000    1.2327    0.3056   0.5500 PASS
26   descend    reorient_first    0.0000    0.0000    1.2327    0.3056   0.3755 PASS
26   SUMMARY    reorient_first         -         -         -         -        - PASS
6    lift       reorient_first    0.0000    0.0000    1.2327    0.3056   0.3755 PASS
