/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.5303, -0.1147, 0.55] | 姿态(rx,ry,rz rad): [-1.2689, 2.8112, 0.5076]
FK 一致度: 0.002462 m / 0.004511 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [14, 7, 6, 5, 4, 3, 2, 12, 13, 26, 21, 22, 23, 15, 16, 24, 17, 9, 8, 18, 1, 25, 19, 11, 10, 20]
当前位姿最小奇异值 0.3024（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
14   lift       reorient_first    0.0000    0.0000    1.5246    0.3021   0.5500 PASS
14   reorient   reorient_first    0.0000    0.0000    1.5027    0.2886   0.5500 PASS
14   translate  reorient_first    0.0000    0.0000    1.4250    0.2886   0.5500 PASS
14   descend    reorient_first    0.0000    0.0000    1.4250    0.2985   0.3947 PASS
14   SUMMARY    reorient_first         -         -         -         -        - PASS
7    lift       reorient_first    0.0000    0.0000    1.4250    0.2985   0.3947 PASS
7    reorient   reorient_first    0.0000    0.0000    1.3984    0.2715   0.5500 PASS
7    translate  reorient_first    0.0000    0.0000    1.2127    0.2715   0.5500 PASS
7    descend    reorient_first    0.0000    0.0000    1.2127    0.2818   0.2517 PASS
7    SUMMARY    reorient_first         -         -         -         -        - PASS
6    lift       reorient_first    0.0000    0.0000    1.2127    0.2818   0.2517 PASS
6    reorient   reorient_first    0.0000    0.0000    1.2127    0.2656   0.5500 PASS
6    translate  reorient_first    0.0000    0.0000    1.3256    0.2656   0.5500 PASS
6    descend    reorient_first    0.0000    0.0000    1.3256    0.2754   0.2512 PASS
6    SUMMARY    reorient_first         -         -         -         -        - PASS
5    lift       reorient_first    0.0000    0.0000    1.3256    0.2754   0.2512 PASS
5    reorient   reorient_first    0.0000    0.0000    0.9889    0.2757   0.5500 PASS
5    translate  reorient_first    0.0000    0.0000    0.9495    0.2728   0.5500 PASS
5    descend    reorient_first    0.0000    0.0000    0.9495    0.2728   0.2526 PASS
5    SUMMARY    reorient_first         -         -         -         -        - PASS
4    lift       reorient_first    0.0000    0.0000    0.9495    0.2728   0.2526 PASS
4    reorient   reorient_first    0.0000    0.0000    0.8694    0.2728   0.5500 PASS
4    translate  reorient_first    0.0000    0.0000    0.8676    0.2749   0.5500 PASS
4    descend    reorient_first    0.0000    0.0000    0.8676    0.2749   0.2527 PASS
4    SUMMARY    reorient_first         -         -         -         -        - PASS
3    lift       reorient_first    0.0000    0.0000    0.8676    0.2749   0.2527 PASS
3    reorient   reorient_first    0.0000    0.0000    0.8665    0.2749   0.5500 PASS
3    translate  reorient_first    0.0000    0.0000    0.9678    0.2815   0.5500 PASS
3    descend    reorient_first    0.0000    0.0000    0.9830    0.3180   0.2516 PASS
3    SUMMARY    reorient_first         -         -         -         -        - PASS
2    lift       reorient_first    0.0000    0.0000    0.9830    0.3180   0.2516 PASS
2    reorient   reorient_first    0.0000    0.0000    0.7172    0.2825   0.5500 PASS
2    translate  reorient_first    0.0000    0.0000    0.7172    0.2468   0.5500 PASS
2    descend    reorient_first    0.0000    0.0000    0.8561    0.2468   0.2521 PASS
2    SUMMARY    reorient_first         -         -         -         -        - PASS
12   lift       reorient_first    0.0000    0.0000    0.8561    0.2468   0.2521 PASS
12   reorient   reorient_first    0.0000    0.0000    0.4788    0.1332   0.5500 PASS
12   translate  reorient_first    0.0000    0.0000    0.4788    0.0641   0.5500 PASS
12   descend    reorient_first    0.0000    0.0000    0.3486    0.0633   0.2584 PASS
12   SUMMARY    reorient_first         -         -         -         -        - PASS
13   lift       reorient_first    0.0000    0.0000    0.3486    0.0633   0.2584 PASS
13   reorient   reorient_first    0.0000    0.0000    0.7236    0.0641   0.5500 PASS
13   translate  reorient_first    0.0000    0.0000    0.7780    0.1331   0.5500 PASS
13   descend    reorient_first    0.0000    0.0000    0.9447    0.2908   0.2599 PASS
13   SUMMARY    reorient_first         -         -         -         -        - PASS
26   lift       reorient_first    0.0000    0.0000    0.9447    0.2908   0.2599 PASS
26   reorient   reorient_first    0.0000    0.0000    1.0008    0.2908   0.5500 PASS
26   translate  reorient_first    0.0000    0.0000    1.0008    0.2908   0.5500 PASS
26   descend    reorient_first    0.0000    0.0000    0.9447    0.2908   0.2599 PASS
26   SUMMARY    reorient_first         -         -         -         -        - PASS
21   lift       reorient_first    0.0000    0.0000    0.9447    0.2908   0.2599 PASS
21   reorient   reorient_first    0.0000    0.0000    1.0008    0.2905   0.5500 PASS
21   translate  reorient_first    0.0000    0.0000    1.0523    0.2277   0.5500 PASS
21   descend    reorient_first    0.0000    0.0000    0.8545    0.2277   0.3737 PASS
21   SUMMARY    reorient_first         -         -         -         -        - PASS
22   lift       reorient_first    0.0000    0.0000    0.8545    0.2277   0.3737 PASS
22   reorient   reorient_first    0.0000    0.0000    0.8525    0.2277   0.5500 PASS
22   translate  reorient_first    0.0000    0.0000    0.7981    0.2593   0.5500 PASS
22   descend    reorient_first    0.0000    0.0000    0.7981    0.3382   0.2646 PASS
22   SUMMARY    reorient_first         -         -         -         -        - PASS
23   lift       reorient_first    0.0000    0.0000    0.7981    0.3382   0.2646 PASS
