/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.4643, -0.053, 0.4243] | 姿态(rx,ry,rz rad): [1.9463, -2.3554, -0.0013]
FK 一致度: 0.002488 m / 0.003707 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [21, 17, 14, 6, 5, 13, 9, 26, 4, 8, 12, 16, 3, 7, 2, 11, 20, 19, 10, 1, 25, 18, 22, 23, 24, 15]
当前位姿最小奇异值 0.2876（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
21   lift       reorient_first    0.0000    0.0000    1.2128    0.2859   0.4243 PASS
21   reorient   reorient_first    0.0000    0.0000    1.3781    0.2859   0.5500 PASS
21   translate  reorient_first    0.0000    0.0000    1.2448    0.2498   0.5500 PASS
21   descend    reorient_first    0.0000    0.0000    1.1566    0.2493   0.4862 PASS
21   SUMMARY    reorient_first         -         -         -         -        - PASS
17   lift       reorient_first    0.0000    0.0000    1.1566    0.2493   0.4862 PASS
17   reorient   reorient_first    0.0000    0.0000    1.2414    0.2078   0.5500 PASS
17   translate  reorient_first    0.0000    0.0000    1.2414    0.2078   0.5500 PASS
17   descend    reorient_first    0.0000    0.0000    1.3690    0.2943   0.4890 PASS
17   SUMMARY    reorient_first         -         -         -         -        - PASS
14   lift       reorient_first    0.0000    0.0000    1.3690    0.2943   0.4890 PASS
14   reorient   reorient_first    0.0000    0.0000    1.3690    0.2752   0.5500 PASS
14   translate  reorient_first    0.0000    0.0000    1.4250    0.2838   0.5500 PASS
14   descend    reorient_first    0.0000    0.0000    1.4250    0.2985   0.3947 PASS
14   SUMMARY    reorient_first         -         -         -         -        - PASS
6    lift       reorient_first    0.0000    0.0000    1.4250    0.2985   0.3947 PASS
6    reorient   reorient_first    0.0000    0.0000    1.4250    0.2564   0.5500 PASS
6    translate  reorient_first    0.0000    0.0000    1.2978    0.2564   0.5500 PASS
6    descend    reorient_first    0.0000    0.0000    1.2978    0.2825   0.2584 PASS
6    SUMMARY    reorient_first         -         -         -         -        - PASS
5    lift       reorient_first    0.0000    0.0000    1.2978    0.2825   0.2584 PASS
5    reorient   reorient_first    0.0000    0.0000    1.0007    0.2825   0.5500 PASS
5    translate  reorient_first    0.0000    0.0000    0.9712    0.2704   0.5500 PASS
5    descend    reorient_first    0.0000    0.0000    0.9712    0.2704   0.2596 PASS
5    SUMMARY    reorient_first         -         -         -         -        - PASS
13   lift       reorient_first    0.0000    0.0000    0.9712    0.2704   0.2596 PASS
13   reorient   reorient_first    0.0000    0.0000    0.9712    0.2614   0.5500 PASS
13   translate  reorient_first    0.0000    0.0000    1.1081    0.2614   0.5500 PASS
13   descend    reorient_first    0.0000    0.0000    1.2238    0.3101   0.3949 PASS
13   SUMMARY    reorient_first         -         -         -         -        - PASS
9    lift       reorient_first    0.0000    0.0000    1.2238    0.3101   0.3949 PASS
9    reorient   reorient_first    0.0000    0.0000    1.2238    0.2729   0.5500 PASS
9    translate  reorient_first    0.0000    0.0000    1.2398    0.2158   0.5500 PASS
9    descend    reorient_first    0.0000    0.0000    1.0446    0.2156   0.3930 PASS
9    SUMMARY    reorient_first         -         -         -         -        - PASS
26   lift       reorient_first    0.0000    0.0000    1.0446    0.2156   0.3930 PASS
26   reorient   reorient_first    0.0000    0.0000    1.2398    0.2158   0.5500 PASS
26   translate  reorient_first    0.0000    0.0000    1.2238    0.2923   0.5500 PASS
26   descend    reorient_first    0.0000    0.0000    1.2238    0.3101   0.3949 PASS
26   SUMMARY    reorient_first         -         -         -         -        - PASS
4    lift       reorient_first    0.0000    0.0000    1.2238    0.3101   0.3949 PASS
4    reorient   reorient_first    0.0000    0.0000    1.0051    0.3101   0.5500 PASS
4    translate  reorient_first    0.0000    0.0000    0.9204    0.2818   0.5500 PASS
4    descend    reorient_first    0.0000    0.0000    0.9204    0.2818   0.2595 PASS
4    SUMMARY    reorient_first         -         -         -         -        - PASS
8    lift       reorient_first    0.0000    0.0000    0.9204    0.2818   0.2595 PASS
8    reorient   reorient_first    0.0000    0.0000    0.9204    0.2347   0.5500 PASS
8    translate  reorient_first    0.0000    0.0000    1.1693    0.1672   0.5500 PASS
8    descend    reorient_first    0.0000    0.0000    0.7286    0.1639   0.2554 PASS
8    SUMMARY    reorient_first         -         -         -         -        - PASS
12   lift       reorient_first    0.0000    0.0000    0.7286    0.1639   0.2554 PASS
12   reorient   reorient_first    0.0000    0.0000    0.8332    0.1330   0.5500 PASS
12   translate  reorient_first    0.0000    0.0000    1.1021    0.2263   0.5500 PASS
12   descend    reorient_first    0.0000    0.0000    1.2265    0.3239   0.3946 PASS
12   SUMMARY    reorient_first         -         -         -         -        - PASS
16   lift       reorient_first    0.0000    0.0000    1.2265    0.3239   0.3946 PASS
16   reorient   reorient_first    0.0000    0.0000    0.3701    0.2720   0.5500 PASS
16   translate  reorient_first    0.0000    0.0000    0.3701    0.2553   0.5500 PASS
16   descend    reorient_first    0.0000    0.0000    0.5961    0.2545   0.3933 PASS
16   SUMMARY    reorient_first         -         -         -         -        - PASS
3    DEFER      retry later            -         -         -         -        - 本轮不可达，排到队尾重试（前驱不同可能就通了）
7    lift       reorient_first    0.0000    0.0000    0.5961    0.2545   0.3933 PASS
7    reorient   reorient_first    0.0000    0.0000    0.5961    0.2195   0.5500 PASS
7    translate  reorient_first    0.0000    0.0000    0.9108    0.2110   0.5500 PASS
7    descend    reorient_first    0.0000    0.0000    1.1553    0.2052   0.2567 PASS
7    SUMMARY    reorient_first         -         -         -         -        - PASS
2    DEFER      retry later            -         -         -         -        - 本轮不可达，排到队尾重试（前驱不同可能就通了）
11   lift       reorient_first    0.0000    0.0000    1.1553    0.2052   0.2567 PASS
11   reorient   reorient_first    0.0000    0.0000    1.0192    0.2024   0.5500 PASS
11   translate  reorient_first    0.0000    0.0000    1.0458    0.3028   0.5500 PASS
11   descend    reorient_first    0.0000    0.0000    1.0888    0.3141   0.3781 PASS
11   RESCUE     roll +30 deg           -         -         -         -        - PASS 绕光轴转 +30° 后整链通过
11   SUMMARY    reorient_first         -         -         -         -        - PASS
20   lift       reorient_first    0.0000    0.0000    1.0888    0.3141   0.3781 PASS
20   reorient   reorient_first    0.0000    0.0000    1.0888    0.2978   0.5500 PASS
20   translate  reorient_first    0.0000    0.0000    1.3387    0.2900   0.5500 PASS
20   descend    reorient_first    0.0000    0.0000    1.2552    0.2900   0.4867 PASS
20   SUMMARY    reorient_first         -         -         -         -        - PASS
19   lift       reorient_first    0.0000    0.0000    1.2552    0.2900   0.4867 PASS
19   reorient   reorient_first    0.0000    0.0000    1.2986    0.2710   0.5500 PASS
19   translate  reorient_first    0.0000    0.0000    1.2853    0.2710   0.5500 PASS
19   descend    reorient_first    0.0000    0.0000    1.2853    0.3160   0.4877 PASS
19   SUMMARY    reorient_first         -         -         -         -        - PASS
10   lift       reorient_first    0.0000    0.0000    1.2853    0.3160   0.4877 PASS
10   reorient   reorient_first    0.0000    0.0000    1.0215    0.2834   0.5500 PASS
10   translate  reorient_first    0.0000    0.0000    0.9180    0.2122   0.5500 PASS
10   descend    reorient_first    0.0000    0.0000    0.9180    0.2122   0.3932 PASS
10   SUMMARY    reorient_first         -         -         -         -        - PASS
1    lift       reorient_first    0.0000    0.0000    0.9180    0.2122   0.3932 PASS
1    reorient   reorient_first    0.0000    0.0000    0.7789    0.1845   0.5500 PASS
1    translate  reorient_first    0.0000    0.0000    0.6642    0.0896   0.5500 PASS
1    descend    reorient_first    0.0000    0.0000    0.6436    0.0896   0.2553 PASS
1    SUMMARY    reorient_first         -         -         -         -        - PASS
25   lift       reorient_first    0.0000    0.0000    0.6436    0.0896   0.2553 PASS
25   reorient   reorient_first    0.0000    0.0000    0.6642    0.0896   0.5500 PASS
25   translate  reorient_first    0.0000    0.0000    0.6642    0.0896   0.5500 PASS
25   descend    reorient_first    0.0000    0.0000    0.6436    0.0896   0.2553 PASS
25   SUMMARY    reorient_first         -         -         -         -        - PASS
18   lift       reorient_first    0.0000    0.0000    0.6436    0.0896   0.2553 PASS
18   reorient   reorient_first    0.0000    0.0000    0.6642    0.0896   0.5500 PASS
18   translate  reorient_first    0.0000    0.0000    1.1082    0.1692   0.5500 PASS
18   descend    reorient_first    0.0000    0.0000    1.2587    0.3030   0.4887 PASS
18   SUMMARY    reorient_first         -         -         -         -        - PASS
22   lift       reorient_first    0.0000    0.0000    1.2587    0.3030   0.4887 PASS
22   reorient   reorient_first    0.0000    0.0000    1.2492    0.2911   0.5500 PASS
